,time,open,high,low,close,tick_volume,spread,real_volume
30658,2018-03-20 02:00:00,106.015,106.137,105.985,106.042,8607,1,0
30659,2018-03-20 03:00:00,106.04,106.302,105.984,106.244,9100,1,0
30660,2018-03-20 04:00:00,106.244,106.264,106.154,106.206,4366,1,0
30661,2018-03-20 05:00:00,106.209,106.312,106.197,106.257,3550,1,0
30662,2018-03-20 06:00:00,106.258,106.349,106.192,106.314,4456,1,0
30663,2018-03-20 07:00:00,106.315,106.332,106.25,106.292,3745,1,0
30664,2018-03-20 08:00:00,106.292,106.316,106.247,106.248,3649,1,0
30665,2018-03-20 09:00:00,106.247,106.605,106.21,106.443,9690,1,0
30666,2018-03-20 10:00:00,106.442,106.501,106.331,106.397,7728,1,0
30667,2018-03-20 11:00:00,106.398,106.43,106.078,106.332,9092,1,0
30668,2018-03-20 12:00:00,106.333,106.441,106.293,106.4,4804,1,0
30669,2018-03-20 13:00:00,106.401,106.536,106.38,106.512,4395,1,0
30670,2018-03-20 14:00:00,106.513,106.602,106.455,106.455,5852,1,0
30671,2018-03-20 15:00:00,106.454,106.498,106.349,106.412,8661,1,0
30672,2018-03-20 16:00:00,106.414,106.475,106.335,106.455,9221,1,0
30673,2018-03-20 17:00:00,106.455,106.494,106.35,106.416,7861,1,0
30674,2018-03-20 18:00:00,106.418,106.463,106.337,106.412,7046,1,0
30675,2018-03-20 19:00:00,106.41,106.442,106.36,106.388,4040,1,0
30676,2018-03-20 20:00:00,106.387,106.464,106.371,106.447,3319,1,0
30677,2018-03-20 21:00:00,106.449,106.52,106.437,106.513,3364,1,0
30678,2018-03-20 22:00:00,106.514,106.544,106.496,106.531,1034,1,0
30679,2018-03-20 23:00:00,106.531,106.55,106.504,106.527,4775,1,0
30680,2018-03-21 00:00:00,106.527,106.546,106.511,106.536,959,4,0
30681,2018-03-21 01:00:00,106.538,106.54,106.469,106.476,1002,1,0
30682,2018-03-21 02:00:00,106.476,106.526,106.437,106.458,1789,1,0
30683,2018-03-21 03:00:00,106.458,106.519,106.45,106.46,2204,1,0
30684,2018-03-21 04:00:00,106.462,106.51,106.442,106.481,2654,1,0
30685,2018-03-21 05:00:00,106.482,106.502,106.447,106.475,1283,1,0
30686,2018-03-21 06:00:00,106.476,106.481,106.453,106.471,758,1,0
30687,2018-03-21 07:00:00,106.471,106.481,106.41,106.413,1441,1,0
30688,2018-03-21 08:00:00,106.415,106.451,106.384,106.42,1596,2,0
30689,2018-03-21 09:00:00,106.42,106.428,106.307,106.32,4353,1,0
30690,2018-03-21 10:00:00,106.32,106.353,106.253,106.318,5536,1,0
30691,2018-03-21 11:00:00,106.318,106.337,106.24,106.306,4024,1,0
30692,2018-03-21 12:00:00,106.307,106.358,106.279,106.328,2909,1,0
30693,2018-03-21 13:00:00,106.327,106.377,106.08,106.259,6796,1,0
30694,2018-03-21 14:00:00,106.258,106.351,106.207,106.208,6157,1,0
30695,2018-03-21 15:00:00,106.208,106.27,106.137,106.239,7851,1,0
30696,2018-03-21 16:00:00,106.239,106.314,106.199,106.256,6722,1,0
30697,2018-03-21 17:00:00,106.255,106.336,106.204,106.295,4884,1,0
30698,2018-03-21 18:00:00,106.294,106.417,106.293,106.307,4745,1,0
30699,2018-03-21 19:00:00,106.307,106.331,106.104,106.168,4367,1,0
30700,2018-03-21 20:00:00,106.167,106.637,106.015,106.111,36487,1,0
30701,2018-03-21 21:00:00,106.11,106.194,105.878,105.91,18335,1,0
30702,2018-03-21 22:00:00,105.911,106.051,105.883,106.047,3129,1,0
30703,2018-03-21 23:00:00,106.045,106.083,106.019,106.063,5798,1,0
30704,2018-03-22 00:00:00,106.063,106.07,105.959,105.962,3321,3,0
30705,2018-03-22 01:00:00,105.962,105.983,105.885,105.94,3136,2,0
30706,2018-03-22 02:00:00,105.939,105.968,105.576,105.606,14803,1,0
30707,2018-03-22 03:00:00,105.607,105.747,105.607,105.68,8552,1,0
30708,2018-03-22 04:00:00,105.681,105.711,105.623,105.704,5184,1,0
30709,2018-03-22 05:00:00,105.705,105.739,105.671,105.676,3130,1,0
30710,2018-03-22 06:00:00,105.677,105.773,105.672,105.769,2024,1,0
30711,2018-03-22 07:00:00,105.769,105.961,105.752,105.899,4869,1,0
30712,2018-03-22 08:00:00,105.898,105.925,105.839,105.848,3367,1,0
30713,2018-03-22 09:00:00,105.848,105.857,105.663,105.692,9206,1,0
30714,2018-03-22 10:00:00,105.691,105.796,105.629,105.761,7867,1,0
30715,2018-03-22 11:00:00,105.762,105.765,105.534,105.622,9188,1,0
30716,2018-03-22 12:00:00,105.621,105.698,105.571,105.614,6581,1,0
30717,2018-03-22 13:00:00,105.614,105.699,105.563,105.636,4854,1,0
30718,2018-03-22 14:00:00,105.636,105.664,105.259,105.407,12579,1,0
30719,2018-03-22 15:00:00,105.408,105.558,105.288,105.44,15433,1,0
30720,2018-03-22 16:00:00,105.439,105.651,105.375,105.423,15981,1,0
30721,2018-03-22 17:00:00,105.423,105.523,105.321,105.333,15840,1,0
30722,2018-03-22 18:00:00,105.333,105.774,105.302,105.62,23470,1,0
30723,2018-03-22 19:00:00,105.62,105.799,105.547,105.759,12023,1,0
30724,2018-03-22 20:00:00,105.759,105.816,105.599,105.599,9733,1,0
30725,2018-03-22 21:00:00,105.598,105.662,105.346,105.383,15479,1,0
30726,2018-03-22 22:00:00,105.386,105.417,105.27,105.276,5097,1,0
30727,2018-03-22 23:00:00,105.29,105.408,105.263,105.311,7834,1,0
30728,2018-03-23 00:00:00,105.311,105.324,104.638,104.846,16002,1,0
30729,2018-03-23 01:00:00,104.849,104.989,104.645,104.958,13314,1,0
30730,2018-03-23 02:00:00,104.959,105.089,104.808,104.841,18586,1,0
30731,2018-03-23 03:00:00,104.842,104.961,104.81,104.925,14096,1,0
30732,2018-03-23 04:00:00,104.926,104.965,104.732,104.885,10670,1,0
30733,2018-03-23 05:00:00,104.884,104.895,104.759,104.763,6828,1,0
30734,2018-03-23 06:00:00,104.763,104.867,104.737,104.812,5072,1,0
30735,2018-03-23 07:00:00,104.813,104.865,104.744,104.795,6326,1,0
30736,2018-03-23 08:00:00,104.795,104.857,104.66,104.833,8032,1,0
30737,2018-03-23 09:00:00,104.834,105.039,104.802,105.027,10373,1,0
30738,2018-03-23 10:00:00,105.029,105.116,104.862,104.893,12660,1,0
30739,2018-03-23 11:00:00,104.893,104.955,104.822,104.876,8287,1,0
30740,2018-03-23 12:00:00,104.876,104.992,104.838,104.982,7436,1,0
30741,2018-03-23 13:00:00,104.982,105.091,104.932,105.056,7545,1,0
30742,2018-03-23 14:00:00,105.057,105.222,105.045,105.083,15174,1,0
30743,2018-03-23 15:00:00,105.083,105.285,105.051,105.145,14234,1,0
30744,2018-03-23 16:00:00,105.145,105.22,105.066,105.136,16370,1,0
30745,2018-03-23 17:00:00,105.134,105.168,104.828,104.836,13843,1,0
30746,2018-03-23 18:00:00,104.836,104.956,104.796,104.907,12895,1,0
30747,2018-03-23 19:00:00,104.906,105.059,104.884,105.032,10599,1,0
30748,2018-03-23 20:00:00,105.031,105.054,104.8,104.802,9626,1,0
30749,2018-03-23 21:00:00,104.803,104.858,104.658,104.807,18312,1,0
30750,2018-03-23 22:00:00,104.806,104.874,104.707,104.734,5420,1,0
30751,2018-03-26 00:00:00,104.651,104.762,104.628,104.663,1414,1,0
30752,2018-03-26 01:00:00,104.663,104.82,104.65,104.727,3461,1,0
30753,2018-03-26 02:00:00,104.727,104.868,104.726,104.833,3420,1,0
30754,2018-03-26 03:00:00,104.832,105.002,104.725,104.98,11827,1,0
30755,2018-03-26 04:00:00,104.979,105.056,104.868,104.981,10017,1,0
30756,2018-03-26 05:00:00,104.98,104.993,104.903,104.922,5384,1,0
30757,2018-03-26 06:00:00,104.922,104.959,104.877,104.95,4735,1,0
30758,2018-03-26 07:00:00,104.949,104.959,104.866,104.874,3808,1,0
30759,2018-03-26 08:00:00,104.875,105.013,104.851,104.968,5386,1,0
30760,2018-03-26 09:00:00,104.968,105.089,104.966,105.076,7089,1,0
30761,2018-03-26 10:00:00,105.077,105.157,105.019,105.068,9610,1,0
30762,2018-03-26 11:00:00,105.067,105.144,104.926,104.955,6455,1,0
30763,2018-03-26 12:00:00,104.955,105.132,104.933,105.082,7129,1,0
30764,2018-03-26 13:00:00,105.082,105.144,105.046,105.132,5394,1,0
30765,2018-03-26 14:00:00,105.132,105.145,105.072,105.133,4888,1,0
30766,2018-03-26 15:00:00,105.132,105.204,105.099,105.184,7127,1,0
30767,2018-03-26 16:00:00,105.185,105.256,105.104,105.174,13161,1,0
30768,2018-03-26 17:00:00,105.174,105.226,105.031,105.052,11345,1,0
30769,2018-03-26 18:00:00,105.052,105.073,104.913,105.0,12263,1,0
30770,2018-03-26 19:00:00,105.0,105.146,104.966,105.129,7671,1,0
30771,2018-03-26 20:00:00,105.129,105.176,105.098,105.121,5951,1,0
30772,2018-03-26 21:00:00,105.121,105.244,105.095,105.222,7001,1,0
30773,2018-03-26 22:00:00,105.221,105.479,105.216,105.425,6924,1,0
30774,2018-03-26 23:00:00,105.423,105.449,105.372,105.403,1586,1,0
30775,2018-03-27 00:00:00,105.398,105.466,105.38,105.462,5049,2,0
30776,2018-03-27 01:00:00,105.461,105.544,105.447,105.454,2647,1,0
30777,2018-03-27 02:00:00,105.454,105.546,105.418,105.546,3074,2,0
30778,2018-03-27 03:00:00,105.547,105.678,105.455,105.591,9100,1,0
30779,2018-03-27 04:00:00,105.592,105.75,105.542,105.708,7283,1,0
30780,2018-03-27 05:00:00,105.709,105.741,105.613,105.642,4505,1,0
30781,2018-03-27 06:00:00,105.642,105.673,105.555,105.63,3904,1,0
30782,2018-03-27 07:00:00,105.63,105.638,105.542,105.626,3969,1,0
30783,2018-03-27 08:00:00,105.625,105.686,105.595,105.619,3483,1,0
30784,2018-03-27 09:00:00,105.622,105.671,105.557,105.669,5360,1,0
30785,2018-03-27 10:00:00,105.673,105.682,105.462,105.491,6255,1,0
30786,2018-03-27 11:00:00,105.49,105.582,105.449,105.562,5110,1,0
30787,2018-03-27 12:00:00,105.563,105.705,105.561,105.697,4319,1,0
30788,2018-03-27 13:00:00,105.697,105.71,105.613,105.657,3306,1,0
30789,2018-03-27 14:00:00,105.656,105.79,105.653,105.769,4241,1,0
30790,2018-03-27 15:00:00,105.769,105.903,105.716,105.737,6440,1,0
30791,2018-03-27 16:00:00,105.737,105.78,105.633,105.738,7579,1,0
30792,2018-03-27 17:00:00,105.739,105.802,105.568,105.785,14801,1,0
30793,2018-03-27 18:00:00,105.785,105.785,105.687,105.734,8939,1,0
30794,2018-03-27 19:00:00,105.733,105.745,105.614,105.737,7853,1,0
30795,2018-03-27 20:00:00,105.74,105.785,105.609,105.66,8466,1,0
30796,2018-03-27 21:00:00,105.659,105.676,105.512,105.535,10138,1,0
30797,2018-03-27 22:00:00,105.534,105.55,105.34,105.42,16794,1,0
30798,2018-03-27 23:00:00,105.42,105.455,105.318,105.327,2592,1,0
30799,2018-03-28 00:00:00,105.328,105.391,105.323,105.379,5171,2,0
30800,2018-03-28 01:00:00,105.379,105.401,105.355,105.397,3040,1,0
30801,2018-03-28 02:00:00,105.398,105.513,105.368,105.477,3962,1,0
30802,2018-03-28 03:00:00,105.478,105.62,105.423,105.51,9877,1,0
30803,2018-03-28 04:00:00,105.509,105.668,105.473,105.616,9188,1,0
30804,2018-03-28 05:00:00,105.616,105.623,105.522,105.528,4187,1,0
30805,2018-03-28 06:00:00,105.528,105.556,105.458,105.526,3450,1,0
30806,2018-03-28 07:00:00,105.526,105.627,105.525,105.566,4604,1,0
30807,2018-03-28 08:00:00,105.567,105.637,105.472,105.622,5833,1,0
30808,2018-03-28 09:00:00,105.619,105.729,105.603,105.649,6695,1,0
30809,2018-03-28 10:00:00,105.65,105.678,105.428,105.464,9353,1,0
30810,2018-03-28 11:00:00,105.464,105.631,105.458,105.568,8135,1,0
30811,2018-03-28 12:00:00,105.568,105.685,105.556,105.668,5866,1,0
30812,2018-03-28 13:00:00,105.668,105.94,105.652,105.902,6066,1,0
30813,2018-03-28 14:00:00,105.903,106.035,105.871,106.012,6115,1,0
30814,2018-03-28 15:00:00,106.014,106.343,106.002,106.106,11252,1,0
30815,2018-03-28 16:00:00,106.106,106.238,106.033,106.228,15585,1,0
30816,2018-03-28 17:00:00,106.229,106.27,106.121,106.196,16977,1,0
30817,2018-03-28 18:00:00,106.198,106.304,106.164,106.296,13363,1,0
30818,2018-03-28 19:00:00,106.296,106.476,106.296,106.431,10466,1,0
30819,2018-03-28 20:00:00,106.431,106.878,106.409,106.832,12271,1,0
30820,2018-03-28 21:00:00,106.832,106.964,106.78,106.876,10407,1,0
30821,2018-03-28 22:00:00,106.877,107.01,106.708,106.972,10801,1,0
30822,2018-03-28 23:00:00,106.973,106.98,106.796,106.845,3131,1,0
30823,2018-03-29 00:00:00,106.842,106.849,106.755,106.788,5055,1,0
30824,2018-03-29 01:00:00,106.787,106.865,106.769,106.819,4330,1,0
30825,2018-03-29 02:00:00,106.819,106.902,106.785,106.804,2951,1,0
30826,2018-03-29 03:00:00,106.806,106.932,106.765,106.858,8536,1,0
30827,2018-03-29 04:00:00,106.857,106.864,106.611,106.675,9210,1,0
30828,2018-03-29 05:00:00,106.675,106.691,106.529,106.641,6007,1,0
30829,2018-03-29 06:00:00,106.641,106.658,106.558,106.578,4432,1,0
30830,2018-03-29 07:00:00,106.579,106.588,106.447,106.468,6338,1,0
30831,2018-03-29 08:00:00,106.468,106.512,106.389,106.487,5244,1,0
30832,2018-03-29 09:00:00,106.488,106.691,106.473,106.672,6039,1,0
30833,2018-03-29 10:00:00,106.675,106.686,106.496,106.569,6394,1,0
